          TOTIM      layer1_001      layer2_001
       73.05000       -3.111053       -43.00000
       146.1000       -4.830828       -43.00000
       219.1500       -6.946579       -43.00000
       292.2000       -8.601678       -43.00000
       365.2500       -10.64484       -43.00000
       438.3000       -12.16764       -43.00000
       511.3500       -13.99159       -43.00000
       584.4000       -15.36614       -43.00000
       657.4500       -16.68982       -43.00000
       730.4999       -17.93625       -43.00000
       803.5499       -19.15585       -43.00000
       876.5999       -20.26565       -43.00000
       949.6499       -21.39087       -43.00000
       1022.700       -22.40197       -43.00000
       1095.750       -23.43979       -43.00000
       1168.800       -24.35977       -43.00000
       1241.850       -25.32225       -43.00000
       1314.900       -26.17475       -43.00000
       1387.950       -27.04662       -43.00000
       1461.000       -27.84211       -43.00000
       1534.050       -28.62456       -43.00000
       1607.100       -29.36999       -43.00000
       1680.150       -30.11035       -43.00000
       1753.200       -30.81224       -43.00000
       1826.250       -31.50920       -43.00000
       1899.300       -32.17219       -43.00000
       1972.350       -32.83297       -43.00000
       2045.401       -33.46287       -43.00000
       2118.450       -34.08408       -43.00000
       2191.500       -34.68334       -43.00000
       2264.551       -35.27069       -43.00000
       2337.601       -35.84396       -43.00000
       2410.651       -36.40371       -43.00000
       2483.701       -36.94746       -43.00000
       2556.751       -37.48053       -43.00000
       2629.801       -37.99874       -43.00000
       2702.851       -38.50533       -43.00000
       2775.901       -38.99868       -43.00000
       2848.951       -39.47903       -43.00000
       2922.001       -39.94611       -43.00000
       2995.051       -40.40048       -43.00000
       3068.101       -40.83986       -43.00000
       3141.151       -41.26442       -43.00000
       3214.201       -41.67224       -43.00000
       3287.251       -42.06182       -43.00000
       3360.301       -42.42965       -43.00000
       3433.351       -42.83242       -43.00000
       3506.401       -43.00000       -43.00000
       3579.451       -43.00000       -43.08826
       3652.501       -43.00000       -43.35517
       3725.552       -43.00000       -43.59876
       3798.602       -43.00000       -43.84206
       3871.652       -43.00000       -44.08669
       3944.702       -43.00000       -44.33048
       4017.752       -43.00000       -44.57692
       4090.802       -43.00000       -44.82580
       4163.852       -43.00000       -45.07624
       4236.901       -43.00000       -45.32377
       4309.951       -43.00000       -45.44738
       4383.001       -43.00000       -45.67786
       4456.051       -43.00000       -45.90262
       4529.101       -43.00000       -46.09850
       4602.150       -43.00000       -46.29823
       4675.200       -43.00000       -46.49893
       4748.250       -43.00000       -46.70330
       4821.300       -43.00000       -46.90879
       4894.350       -43.00000       -47.11388
       4967.399       -43.00000       -47.31839
       5040.449       -43.00000       -47.52245
       5113.499       -43.00000       -47.72721
       5186.549       -43.00000       -47.93479
       5259.599       -43.00000       -48.12846
       5332.648       -43.00000       -48.32374
       5405.698       -43.00000       -48.50906
       5478.748       -43.00000       -48.68480
       5551.798       -43.00000       -48.85465
       5624.848       -43.00000       -49.02320
       5697.897       -43.00000       -49.19726
       5770.947       -43.00000       -49.37012
       5843.997       -43.00000       -49.54759
       5917.047       -43.00000       -49.71897
       5990.097       -43.00000       -49.89418
       6063.146       -43.00000       -50.06783
       6136.196       -43.00000       -50.24330
       6209.246       -43.00000       -50.41807
       6282.296       -43.00000       -50.59632
       6355.346       -43.00000       -50.77375
       6428.396       -43.00000       -50.94712
       6501.445       -43.00000       -51.11432
       6574.495       -43.00000       -51.28475
       6647.545       -43.00000       -51.44526
       6720.595       -43.00000       -51.60900
       6793.645       -43.00000       -51.77184
       6866.694       -43.00000       -51.93277
       6939.744       -43.00000       -52.09281
       7012.794       -43.00000       -52.25560
       7085.844       -43.00000       -52.41667
       7158.894       -43.00000       -52.57805
       7231.943       -43.00000       -52.73577
       7304.993       -43.00000       -52.89528
       7378.043       -43.00000       -53.05340
       7451.093       -43.00000       -53.21270
       7524.143       -43.00000       -53.37043
       7597.192       -43.00000       -53.53001
       7670.242       -43.00000       -53.68813
       7743.292       -43.00000       -53.84783
       7816.342       -43.00000       -53.99868
       7889.392       -43.00000       -54.15107
       7962.441       -43.00000       -54.30200
       8035.491       -43.00000       -54.44957
       8108.541       -43.00000       -54.59544
       8181.591       -43.00000       -54.74273
       8254.641       -43.00000       -54.88723
       8327.690       -43.00000       -55.03373
       8400.740       -43.00000       -55.17516
       8473.790       -43.00000       -55.31791
       8546.840       -43.00000       -55.45579
       8619.890       -43.00000       -55.59579
       8692.939       -43.00000       -55.73262
       8765.989       -43.00000       -55.86961
       8839.039       -43.00000       -56.00329
       8912.089       -43.00000       -56.13842
       8985.139       -43.00000       -56.27033
       9058.188       -43.00000       -56.40451
       9131.238       -43.00000       -56.53537
       9204.288       -43.00000       -56.66793
       9277.338       -43.00000       -56.79739
       9350.388       -43.00000       -56.92459
       9423.438       -43.00000       -57.04850
       9496.487       -43.00000       -57.17406
       9569.537       -43.00000       -57.29658
       9642.587       -43.00000       -57.42082
       9715.637       -43.00000       -57.53923
       9788.687       -43.00000       -57.65921
       9861.736       -43.00000       -57.77617
       9934.786       -43.00000       -57.89463
       10007.84       -43.00000       -58.01004
       10080.89       -43.00000       -58.12614
       10153.94       -43.00000       -58.23752
       10226.99       -43.00000       -58.34887
       10300.04       -43.00000       -58.45719
       10373.08       -43.00000       -58.56678
       10446.13       -43.00000       -58.67339
       10519.18       -43.00000       -58.78008
       10592.23       -43.00000       -58.88343
       10665.28       -43.00000       -58.98809
       10738.33       -43.00000       -59.08980
       10811.38       -43.00000       -59.19281
       10884.43       -43.00000       -59.29292
       10957.48       -43.00000       -59.39429
       11030.53       -43.00000       -59.49270
       11103.58       -43.00000       -59.59235
       11176.63       -43.00000       -59.68700
       11249.68       -43.00000       -59.78269
       11322.73       -43.00000       -59.87560
       11395.78       -43.00000       -59.96971
       11468.83       -43.00000       -60.06102
       11541.88       -43.00000       -60.15348
       11614.93       -43.00000       -60.24284
       11687.98       -43.00000       -60.33228
       11761.03       -43.00000       -60.41901
       11834.08       -43.00000       -60.50686
       11907.13       -43.00000       -60.59212
       11980.18       -43.00000       -60.67744
       12053.23       -43.00000       -60.76017
       12126.28       -43.00000       -60.84382
       12199.33       -43.00000       -60.92475
       12272.38       -43.00000       -61.00526
       12345.43       -43.00000       -61.08321
       12418.48       -43.00000       -61.16209
       12491.53       -43.00000       -61.23850
       12564.58       -43.00000       -61.31603
       12637.63       -43.00000       -61.39085
       12710.68       -43.00000       -61.46582
       12783.73       -43.00000       -61.53846
       12856.78       -43.00000       -61.61211
       12929.83       -43.00000       -61.68335
       13002.88       -43.00000       -61.75563
       13075.93       -43.00000       -61.82552
       13148.98       -43.00000       -61.89646
       13222.03       -43.00000       -61.96506
       13295.08       -43.00000       -62.03461
       13368.13       -43.00000       -62.10141
       13441.18       -43.00000       -62.16861
       13514.23       -43.00000       -62.23328
       13587.28       -43.00000       -62.29906
       13660.33       -43.00000       -62.36256
       13733.38       -43.00000       -62.42714
       13806.43       -43.00000       -62.48938
       13879.48       -43.00000       -62.55275
       13952.53       -43.00000       -62.61383
       14025.58       -43.00000       -62.67586
       14098.62       -43.00000       -62.73508
       14171.67       -43.00000       -62.79535
       14244.72       -43.00000       -62.85315
       14317.77       -43.00000       -62.91203
       14390.82       -43.00000       -62.96804
       14463.87       -43.00000       -63.02518
       14536.92       -43.00000       -63.08011
       14609.97       -43.00000       -63.13602
       14683.02       -43.00000       -63.18975
       14756.07       -43.00000       -63.24462
       14829.12       -43.00000       -63.29730
       14902.17       -43.00000       -63.35077
       14975.22       -43.00000       -63.40058
       15048.27       -43.00000       -63.45241
       15121.32       -43.00000       -63.50227
       15194.37       -43.00000       -63.55318
       15267.42       -43.00000       -63.60073
       15340.47       -43.00000       -63.65062
       15413.52       -43.00000       -63.69842
       15486.57       -43.00000       -63.74628
       15559.62       -43.00000       -63.79255
       15632.67       -43.00000       -63.84001
       15705.72       -43.00000       -63.88433
       15778.77       -43.00000       -63.93094
       15851.82       -43.00000       -63.97540
       15924.87       -43.00000       -64.02012
       15997.92       -43.00000       -64.06375
       16070.97       -43.00000       -64.10862
       16144.02       -43.00000       -64.15044
       16217.07       -43.00000       -64.19432
       16290.12       -43.00000       -64.23606
       16363.17       -43.00000       -64.27810
       16436.22       -43.00000       -64.31904
       16509.27       -43.00000       -64.36070
       16582.32       -43.00000       -64.39951
       16655.37       -43.00000       -64.44044
       16728.42       -43.00000       -64.47939
       16801.47       -43.00000       -64.51862
       16874.52       -43.00000       -64.55682
       16947.57       -43.00000       -64.59525
       17020.62       -43.00000       -64.63276
       17093.68       -43.00000       -64.67055
       17166.73       -43.00000       -64.70726
       17239.78       -43.00000       -64.74423
       17312.83       -43.00000       -64.78020
       17385.88       -43.00000       -64.81607
       17458.93       -43.00000       -64.85069
       17531.98       -43.00000       -64.88562
       17605.03       -43.00000       -64.91943
       17678.08       -43.00000       -64.95360
       17751.13       -43.00000       -64.98682
       17824.18       -43.00000       -65.02023
       17897.23       -43.00000       -65.05248
       17970.29       -43.00000       -65.08502
       18043.34       -43.00000       -65.11656
       18116.39       -43.00000       -65.14845
       18189.44       -43.00000       -65.17943
       18262.49       -43.00000       -65.21065
       18335.54       -43.00000       -65.24102
       18408.59       -43.00000       -65.27172
       18481.64       -43.00000       -65.30145
       18554.69       -43.00000       -65.33148
       18627.74       -43.00000       -65.36050
       18700.79       -43.00000       -65.38978
       18773.84       -43.00000       -65.41822
       18846.89       -43.00000       -65.44671
       18919.95       -43.00000       -65.47428
       18993.00       -43.00000       -65.50217
       19066.05       -43.00000       -65.52915
       19139.10       -43.00000       -65.55647
       19212.15       -43.00000       -65.58294
       19285.20       -43.00000       -65.60979
       19358.25       -43.00000       -65.63570
       19431.30       -43.00000       -65.66198
       19504.35       -43.00000       -65.68742
       19577.40       -43.00000       -65.71323
       19650.45       -43.00000       -65.73818
       19723.50       -43.00000       -65.76348
       19796.55       -43.00000       -65.78767
       19869.61       -43.00000       -65.81225
       19942.66       -43.00000       -65.83601
       20015.71       -43.00000       -65.86011
       20088.76       -43.00000       -65.88342
       20161.81       -43.00000       -65.90709
       20234.86       -43.00000       -65.92992
       20307.91       -43.00000       -65.95313
       20380.96       -43.00000       -65.97552
       20454.01       -43.00000       -65.99824
       20527.06       -43.00000       -66.02012
       20600.11       -43.00000       -66.04242
       20673.16       -43.00000       -66.06387
       20746.21       -43.00000       -66.08573
       20819.27       -43.00000       -66.10676
       20892.32       -43.00000       -66.12821
       20965.37       -43.00000       -66.14885
       21038.42       -43.00000       -66.16992
       21111.47       -43.00000       -66.19012
       21184.52       -43.00000       -66.21075
       21257.57       -43.00000       -66.23038
       21330.62       -43.00000       -66.25044
       21403.67       -43.00000       -66.26969
       21476.72       -43.00000       -66.28938
       21549.77       -43.00000       -66.30824
       21622.82       -43.00000       -66.32754
       21695.88       -43.00000       -66.34605
       21768.93       -43.00000       -66.36497
       21841.98       -43.00000       -66.38312
       21915.03       -43.00000       -66.40170
       21988.08       -43.00000       -66.41948
       22061.13       -43.00000       -66.43759
       22134.18       -43.00000       -66.45483
       22207.23       -43.00000       -66.47250
       22280.28       -43.00000       -66.48933
       22353.33       -43.00000       -66.50664
       22426.38       -43.00000       -66.52311
       22499.43       -43.00000       -66.54005
       22572.48       -43.00000       -66.55616
       22645.54       -43.00000       -66.57259
       22718.59       -43.00000       -66.58819
       22791.64       -43.00000       -66.60428
       22864.69       -43.00000       -66.61945
       22937.74       -43.00000       -66.63512
       23010.79       -43.00000       -66.64996
       23083.84       -43.00000       -66.66529
       23156.89       -43.00000       -66.67984
       23229.94       -43.00000       -66.69489
       23302.99       -43.00000       -66.70912
       23376.04       -43.00000       -66.72385
       23449.09       -43.00000       -66.73782
       23522.14       -43.00000       -66.75228
       23595.20       -43.00000       -66.76598
       23668.25       -43.00000       -66.78017
       23741.30       -43.00000       -66.79360
       23814.35       -43.00000       -66.80750
       23887.40       -43.00000       -66.82063
       23960.45       -43.00000       -66.83429
       24033.50       -43.00000       -66.84719
       24106.55       -43.00000       -66.86059
       24179.60       -43.00000       -66.87306
       24252.65       -43.00000       -66.88602
       24325.70       -43.00000       -66.89824
       24398.75       -43.00000       -66.91098
       24471.80       -43.00000       -66.92294
       24544.86       -43.00000       -66.93542
       24617.91       -43.00000       -66.94718
       24690.96       -43.00000       -66.95943
       24764.01       -43.00000       -66.97092
       24837.06       -43.00000       -66.98299
       24910.11       -43.00000       -66.99426
       24983.16       -43.00000       -67.00604
       25056.21       -43.00000       -67.01709
       25129.26       -43.00000       -67.02859
       25202.31       -43.00000       -67.03937
       25275.36       -43.00000       -67.05067
       25348.41       -43.00000       -67.06120
       25421.46       -43.00000       -67.07227
       25494.52       -43.00000       -67.08264
       25567.57       -43.00000       -67.09349
       25640.62       -43.00000       -67.10358
       25713.67       -43.00000       -67.11423
       25786.72       -43.00000       -67.12416
       25859.77       -43.00000       -67.13461
       25932.82       -43.00000       -67.14431
       26005.87       -43.00000       -67.15455
       26078.92       -43.00000       -67.16392
       26151.97       -43.00000       -67.17384
       26225.02       -43.00000       -67.18302
       26298.07       -43.00000       -67.19273
       26371.12       -43.00000       -67.20174
       26444.18       -43.00000       -67.21127
       26517.23       -43.00000       -67.22006
       26590.28       -43.00000       -67.22943
       26663.33       -43.00000       -67.23808
       26736.38       -43.00000       -67.24727
       26809.43       -43.00000       -67.25573
       26882.48       -43.00000       -67.26475
       26955.53       -43.00000       -67.27309
       27028.58       -43.00000       -67.28193
       27101.63       -43.00000       -67.29008
       27174.68       -43.00000       -67.29877
       27247.73       -43.00000       -67.30674
       27320.79       -43.00000       -67.31528
       27393.84       -43.00000       -67.32314
       27466.89       -43.00000       -67.33151
       27539.94       -43.00000       -67.33920
       27612.99       -43.00000       -67.34743
       27686.04       -43.00000       -67.35495
       27759.09       -43.00000       -67.36306
       27832.14       -43.00000       -67.37045
       27905.19       -43.00000       -67.37834
       27978.24       -43.00000       -67.38559
       28051.29       -43.00000       -67.39341
       28124.34       -43.00000       -67.40048
       28197.39       -43.00000       -67.40814
       28270.45       -43.00000       -67.41511
       28343.50       -43.00000       -67.42259
       28416.55       -43.00000       -67.42944
       28489.60       -43.00000       -67.43685
       28562.65       -43.00000       -67.44354
       28635.70       -43.00000       -67.45065
       28708.75       -43.00000       -67.45710
       28781.80       -43.00000       -67.46405
       28854.85       -43.00000       -67.47036
       28927.90       -43.00000       -67.47723
       29000.95       -43.00000       -67.48339
       29074.00       -43.00000       -67.49012
       29147.05       -43.00000       -67.49614
       29220.11       -43.00000       -67.50269
       29293.16       -43.00000       -67.50859
       29366.21       -43.00000       -67.51505
       29439.26       -43.00000       -67.52082
       29512.31       -43.00000       -67.52715
       29585.36       -43.00000       -67.53282
       29658.41       -43.00000       -67.53902
       29731.46       -43.00000       -67.54458
       29804.51       -43.00000       -67.55068
       29877.56       -43.00000       -67.55609
       29950.61       -43.00000       -67.56210
       30023.66       -43.00000       -67.56744
       30096.71       -43.00000       -67.57330
       30169.77       -43.00000       -67.57854
       30242.82       -43.00000       -67.58436
       30315.87       -43.00000       -67.58945
       30388.92       -43.00000       -67.59515
       30461.97       -43.00000       -67.60018
       30535.02       -43.00000       -67.60574
       30608.07       -43.00000       -67.61066
       30681.12       -43.00000       -67.61614
       30754.17       -43.00000       -67.62095
       30827.22       -43.00000       -67.62636
       30900.27       -43.00000       -67.63110
       30973.32       -43.00000       -67.63637
       31046.38       -43.00000       -67.64101
       31119.43       -43.00000       -67.64622
       31192.48       -43.00000       -67.65074
       31265.53       -43.00000       -67.65586
       31338.58       -43.00000       -67.66034
       31411.63       -43.00000       -67.66535
       31484.68       -43.00000       -67.66972
       31557.73       -43.00000       -67.67465
       31630.78       -43.00000       -67.67889
       31703.83       -43.00000       -67.68372
       31776.88       -43.00000       -67.68791
       31849.93       -43.00000       -67.69262
       31922.98       -43.00000       -67.69672
       31996.04       -43.00000       -67.70141
       32069.09       -43.00000       -67.70534
       32142.14       -43.00000       -67.70986
       32215.19       -43.00000       -67.71374
       32288.24       -43.00000       -67.71817
       32361.29       -43.00000       -67.72192
       32434.34       -43.00000       -67.72624
       32507.39       -43.00000       -67.72989
       32580.44       -43.00000       -67.73415
       32653.49       -43.00000       -67.73775
       32726.54       -43.00000       -67.74187
       32799.59       -43.00000       -67.74540
       32872.64       -43.00000       -67.74947
       32945.70       -43.00000       -67.75288
       33018.75       -43.00000       -67.75688
       33091.80       -43.00000       -67.76025
       33164.85       -43.00000       -67.76418
       33237.90       -43.00000       -67.76739
       33310.95       -43.00000       -67.77115
       33384.00       -43.00000       -67.77422
       33457.05       -43.00000       -67.77790
       33530.10       -43.00000       -67.78094
       33603.15       -43.00000       -67.78453
       33676.20       -43.00000       -67.78751
       33749.25       -43.00000       -67.79107
       33822.30       -43.00000       -67.79395
       33895.36       -43.00000       -67.79745
       33968.41       -43.00000       -67.80030
       34041.46       -43.00000       -67.80370
       34114.51       -43.00000       -67.80648
       34187.56       -43.00000       -67.80985
       34260.61       -43.00000       -67.81258
       34333.66       -43.00000       -67.81588
       34406.71       -43.00000       -67.81853
       34479.76       -43.00000       -67.82173
       34552.81       -43.00000       -67.82433
       34625.86       -43.00000       -67.82752
       34698.91       -43.00000       -67.83003
       34771.96       -43.00000       -67.83315
       34845.02       -43.00000       -67.83564
       34918.07       -43.00000       -67.83865
       34991.12       -43.00000       -67.84107
       35064.17       -43.00000       -67.84407
       35137.22       -43.00000       -67.84641
       35210.27       -43.00000       -67.84937
       35283.32       -43.00000       -67.85171
       35356.37       -43.00000       -67.85461
       35429.42       -43.00000       -67.85686
       35502.47       -43.00000       -67.85971
       35575.52       -43.00000       -67.86189
       35648.57       -43.00000       -67.86469
       35721.62       -43.00000       -67.86687
       35794.68       -43.00000       -67.86960
       35867.73       -43.00000       -67.87173
       35940.78       -43.00000       -67.87444
       36013.83       -43.00000       -67.87649
       36086.88       -43.00000       -67.87917
       36159.93       -43.00000       -67.88121
       36232.98       -43.00000       -67.88380
       36306.03       -43.00000       -67.88582
       36379.08       -43.00000       -67.88840
       36452.13       -43.00000       -67.89030
       36525.18       -43.00000       -67.89283
       36598.23       -43.00000       -67.89474
       36671.29       -43.00000       -67.89719
       36744.34       -43.00000       -67.89906
       36817.39       -43.00000       -67.90154
       36890.44       -43.00000       -67.90334
       36963.49       -43.00000       -67.90575
       37036.54       -43.00000       -67.90752
       37109.59       -43.00000       -67.90986
       37182.64       -43.00000       -67.91161
       37255.69       -43.00000       -67.91394
       37328.74       -43.00000       -67.91564
       37401.79       -43.00000       -67.91794
       37474.84       -43.00000       -67.91960
       37547.89       -43.00000       -67.92184
       37620.95       -43.00000       -67.92345
       37694.00       -43.00000       -67.92564
       37767.05       -43.00000       -67.92718
       37840.10       -43.00000       -67.92934
       37913.15       -43.00000       -67.93088
       37986.20       -43.00000       -67.93286
       38059.25       -43.00000       -67.93426
       38132.30       -43.00000       -67.93624
       38205.35       -43.00000       -67.93758
       38278.40       -43.00000       -67.93955
       38351.45       -43.00000       -67.94091
       38424.50       -43.00000       -67.94280
       38497.55       -43.00000       -67.94408
       38570.61       -43.00000       -67.94595
       38643.66       -43.00000       -67.94718
       38716.71       -43.00000       -67.94903
       38789.76       -43.00000       -67.95026
       38862.81       -43.00000       -67.95205
       38935.86       -43.00000       -67.95326
       39008.91       -43.00000       -67.95507
       39081.96       -43.00000       -67.95620
       39155.01       -43.00000       -67.95795
       39228.06       -43.00000       -67.95910
       39301.11       -43.00000       -67.96081
       39374.16       -43.00000       -67.96194
       39447.21       -43.00000       -67.96365
       39520.27       -43.00000       -67.96470
       39593.32       -43.00000       -67.96636
       39666.37       -43.00000       -67.96742
       39739.42       -43.00000       -67.96906
       39812.47       -43.00000       -67.97010
       39885.52       -43.00000       -67.97174
       39958.57       -43.00000       -67.97273
       40031.62       -43.00000       -67.97433
       40104.67       -43.00000       -67.97531
       40177.72       -43.00000       -67.97685
       40250.77       -43.00000       -67.97781
       40323.82       -43.00000       -67.97936
       40396.88       -43.00000       -67.98028
       40469.93       -43.00000       -67.98183
       40542.98       -43.00000       -67.98274
       40616.03       -43.00000       -67.98423
       40689.08       -43.00000       -67.98512
       40762.13       -43.00000       -67.98660
       40835.18       -43.00000       -67.98743
       40908.23       -43.00000       -67.98888
       40981.28       -43.00000       -67.98975
       41054.33       -43.00000       -67.99115
       41127.38       -43.00000       -67.99197
       41200.43       -43.00000       -67.99339
       41273.48       -43.00000       -67.99416
       41346.54       -43.00000       -67.99566
       41419.59       -43.00000       -67.99654
       41492.64       -43.00000       -67.99803
       41565.69       -43.00000       -67.99892
       41638.74       -43.00000       -68.00037
       41711.79       -43.00000       -68.00117
       41784.84       -43.00000       -68.00262
       41857.89       -43.00000       -68.00345
       41930.94       -43.00000       -68.00484
       42003.99       -43.00000       -68.00567
       42077.04       -43.00000       -68.00708
       42150.09       -43.00000       -68.00784
       42223.14       -43.00000       -68.00923
       42296.20       -43.00000       -68.01002
       42369.25       -43.00000       -68.01139
       42442.30       -43.00000       -68.01216
       42515.35       -43.00000       -68.01354
       42588.40       -43.00000       -68.01426
       42661.45       -43.00000       -68.01562
       42734.50       -43.00000       -68.01634
       42807.55       -43.00000       -68.01763
       42880.60       -43.00000       -68.01834
       42953.65       -43.00000       -68.01966
       43026.70       -43.00000       -68.02035
       43099.75       -43.00000       -68.02164
       43172.80       -43.00000       -68.02232
       43245.86       -43.00000       -68.02359
       43318.91       -43.00000       -68.02426
       43391.96       -43.00000       -68.02553
       43465.01       -43.00000       -68.02615
       43538.06       -43.00000       -68.02741
       43611.11       -43.00000       -68.02795
       43684.16       -43.00000       -68.02905
       43757.21       -43.00000       -68.02959
       43830.26       -43.00000       -68.03069
       43903.31       -43.00000       -68.03117
       43976.36       -43.00000       -68.03226
       44049.41       -43.00000       -68.03275
       44122.46       -43.00000       -68.03381
       44195.52       -43.00000       -68.03426
       44268.57       -43.00000       -68.03532
       44341.62       -43.00000       -68.03572
       44414.67       -43.00000       -68.03675
       44487.72       -43.00000       -68.03718
       44560.77       -43.00000       -68.03818
       44633.82       -43.00000       -68.03857
       44706.87       -43.00000       -68.03957
       44779.92       -43.00000       -68.03993
       44852.97       -43.00000       -68.04093
       44926.02       -43.00000       -68.04130
       44999.07       -43.00000       -68.04226
       45072.12       -43.00000       -68.04263
       45145.18       -43.00000       -68.04359
       45218.23       -43.00000       -68.04389
       45291.28       -43.00000       -68.04482
       45364.33       -43.00000       -68.04516
       45437.38       -43.00000       -68.04605
       45510.43       -43.00000       -68.04637
       45583.48       -43.00000       -68.04730
       45656.53       -43.00000       -68.04758
       45729.58       -43.00000       -68.04848
       45802.63       -43.00000       -68.04877
       45875.68       -43.00000       -68.04967
       45948.73       -43.00000       -68.04997
       46021.79       -43.00000       -68.05086
       46094.84       -43.00000       -68.05111
       46167.89       -43.00000       -68.05197
       46240.94       -43.00000       -68.05223
       46313.99       -43.00000       -68.05305
       46387.04       -43.00000       -68.05330
       46460.09       -43.00000       -68.05415
       46533.14       -43.00000       -68.05437
       46606.19       -43.00000       -68.05522
       46679.24       -43.00000       -68.05545
       46752.29       -43.00000       -68.05627
       46825.34       -43.00000       -68.05650
       46898.39       -43.00000       -68.05732
       46971.45       -43.00000       -68.05750
       47044.50       -43.00000       -68.05833
       47117.55       -43.00000       -68.05856
       47190.60       -43.00000       -68.05933
       47263.65       -43.00000       -68.05951
       47336.70       -43.00000       -68.06030
       47409.75       -43.00000       -68.06046
       47482.80       -43.00000       -68.06125
       47555.85       -43.00000       -68.06143
       47628.90       -43.00000       -68.06223
       47701.95       -43.00000       -68.06240
       47775.00       -43.00000       -68.06317
       47848.05       -43.00000       -68.06330
       47921.11       -43.00000       -68.06406
       47994.16       -43.00000       -68.06422
       48067.21       -43.00000       -68.06495
       48140.26       -43.00000       -68.06513
       48213.31       -43.00000       -68.06587
       48286.36       -43.00000       -68.06597
       48359.41       -43.00000       -68.06670
       48432.46       -43.00000       -68.06683
       48505.51       -43.00000       -68.06756
       48578.56       -43.00000       -68.06769
       48651.61       -43.00000       -68.06843
       48724.66       -43.00000       -68.06851
       48797.71       -43.00000       -68.06922
       48870.77       -43.00000       -68.06933
       48943.82       -43.00000       -68.07000
       49016.87       -43.00000       -68.07010
       49089.92       -43.00000       -68.07080
       49162.97       -43.00000       -68.07088
       49236.02       -43.00000       -68.07157
       49309.07       -43.00000       -68.07167
       49382.12       -43.00000       -68.07234
       49455.17       -43.00000       -68.07242
       49528.22       -43.00000       -68.07310
       49601.27       -43.00000       -68.07314
       49674.32       -43.00000       -68.07382
       49747.38       -43.00000       -68.07389
       49820.43       -43.00000       -68.07452
       49893.48       -43.00000       -68.07457
       49966.53       -43.00000       -68.07523
       50039.58       -43.00000       -68.07520
       50112.63       -43.00000       -68.07579
       50185.68       -43.00000       -68.07579
       50258.73       -43.00000       -68.07637
       50331.78       -43.00000       -68.07635
       50404.83       -43.00000       -68.07692
       50477.88       -43.00000       -68.07687
       50550.93       -43.00000       -68.07744
       50623.98       -43.00000       -68.07740
       50697.04       -43.00000       -68.07794
       50770.09       -43.00000       -68.07789
       50843.14       -43.00000       -68.07843
       50916.19       -43.00000       -68.07835
       50989.24       -43.00000       -68.07889
       51062.29       -43.00000       -68.07883
       51135.34       -43.00000       -68.07937
       51208.39       -43.00000       -68.07932
       51281.44       -43.00000       -68.07986
       51354.49       -43.00000       -68.07976
       51427.54       -43.00000       -68.08028
       51500.59       -43.00000       -68.08022
       51573.64       -43.00000       -68.08073
       51646.70       -43.00000       -68.08065
       51719.75       -43.00000       -68.08119
       51792.80       -43.00000       -68.08108
       51865.85       -43.00000       -68.08159
       51938.90       -43.00000       -68.08150
       52011.95       -43.00000       -68.08201
       52085.00       -43.00000       -68.08192
       52158.05       -43.00000       -68.08244
       52231.10       -43.00000       -68.08234
       52304.15       -43.00000       -68.08284
       52377.20       -43.00000       -68.08274
       52450.25       -43.00000       -68.08321
       52523.30       -43.00000       -68.08311
       52596.36       -43.00000       -68.08362
       52669.41       -43.00000       -68.08351
       52742.46       -43.00000       -68.08401
       52815.51       -43.00000       -68.08390
       52888.56       -43.00000       -68.08438
       52961.61       -43.00000       -68.08427
       53034.66       -43.00000       -68.08475
       53107.71       -43.00000       -68.08461
       53180.76       -43.00000       -68.08510
       53253.81       -43.00000       -68.08500
       53326.86       -43.00000       -68.08545
       53399.91       -43.00000       -68.08532
       53472.96       -43.00000       -68.08580
       53546.02       -43.00000       -68.08565
       53619.07       -43.00000       -68.08613
       53692.12       -43.00000       -68.08601
       53765.17       -43.00000       -68.08651
       53838.22       -43.00000       -68.08643
       53911.27       -43.00000       -68.08696
       53984.32       -43.00000       -68.08685
       54057.37       -43.00000       -68.08738
       54130.42       -43.00000       -68.08731
       54203.47       -43.00000       -68.08781
       54276.52       -43.00000       -68.08775
       54349.57       -43.00000       -68.08828
       54422.62       -43.00000       -68.08817
       54495.68       -43.00000       -68.08870
