PKUID,ID,ROW,COL,BORDER,ACTIVE,TOP,BOTTOM,THICKNESS,STRT,KX,KY,KZ,SS,SY,NT,NE,WETDRY
1,0,100,1,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
2,0,100,2,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
3,0,100,3,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
4,0,100,4,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
5,0,100,5,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
6,0,100,6,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
7,0,100,7,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
8,0,100,8,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
9,0,100,9,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
10,0,100,10,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
11,0,100,11,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
12,0,100,12,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
13,0,100,13,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
14,0,100,14,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
15,0,100,15,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
16,0,100,16,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
17,0,100,17,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
18,0,100,18,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
19,0,100,19,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
20,0,100,20,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
21,0,100,21,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
22,0,100,22,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
23,0,100,23,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
