PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
1,0,100,1,15.2115338891745,1
2,0,100,2,15.2865257263184,1
3,0,100,3,15.3825142979622,1
4,0,100,4,15.5312106311321,1
5,0,100,5,15.7081444114447,1
6,0,100,6,15.8503777086735,1
7,0,100,7,15.9869624525309,1
8,0,100,8,16.0842069536448,1
9,0,100,9,16.1104635298252,1
10,0,100,10,16.0703403502703,1
11,0,100,11,15.9826063364744,1
12,0,100,12,15.819050475955,1
13,0,100,13,15.5963188260794,1
14,0,100,14,15.3547287136316,1
15,0,100,15,14.9755819737911,1
16,0,100,16,14.4983342289925,1
17,0,100,17,13.845392614603,1
18,0,100,18,13.1592061519623,1
19,0,100,19,12.5460620671511,1
20,0,100,20,12.0247396081686,1
21,0,100,21,11.7205636948347,1
22,0,100,22,11.583978921175,1
23,0,100,23,11.4502265006304,1
24,0,100,24,11.3627499789,1
25,0,100,25,11.304141625762,1
26,0,100,26,11.3152443170547,1
27,0,100,27,11.4009868353605,1
28,0,100,28,11.5928433388472,1
29,0,100,29,11.8679935932159,1
30,0,100,30,12.1548877358437,1
31,0,100,31,12.5140516757965,1
32,0,100,32,12.8197726458311,1
33,0,100,33,13.1265495717525,1
34,0,100,34,13.3716968894005,1
35,0,100,35,13.534864038229,1
36,0,100,36,13.69513066113,1
37,0,100,37,13.7966784387827,1
38,0,100,38,13.83410602808,1
39,0,100,39,13.8179907053709,1
40,0,100,40,13.8101245760918,1
41,0,100,41,13.8080596476793,1
42,0,100,42,13.8282155990601,1
43,0,100,43,13.8711867928505,1
44,0,100,44,13.9529148638248,1
45,0,100,45,14.034537807107,1
46,0,100,46,14.0728166550398,1
47,0,100,47,14.0721335560083,1
48,0,100,48,14.0523242205381,1
49,0,100,49,13.9780679792166,1
50,0,100,50,13.8529433906078,1
51,0,100,51,13.7051140069962,1
52,0,100,52,13.4735020846128,1
53,0,100,53,13.2175885438919,1
54,0,100,54,12.9079794436693,1
55,0,100,55,12.594355866313,1
56,0,100,56,12.3128948658705,1
57,0,100,57,11.9953199326992,1
58,0,100,58,11.6948062777519,1
59,0,100,59,11.421778678894,1
60,0,100,60,11.0815570801497,1
61,0,100,61,10.7909690737724,1
62,0,100,62,10.4714343249798,1
63,0,100,63,10.1691812723875,1
64,0,100,64,9.93274065852165,1
65,0,100,65,9.69680967926979,1
66,0,100,66,9.47929042577744,1
67,0,100,67,9.30295568704605,1
68,0,100,68,9.11036877334118,1
69,0,100,69,8.94122733175755,1
70,0,100,70,8.75246569514275,1
71,0,100,71,8.56140266358852,1
72,0,100,72,8.38485789299011,1
73,0,100,73,8.17807862907648,1
74,0,100,74,7.93852207064629,1
75,0,100,75,7.71403530985117,1
76,0,100,76,7.45487955957651,1
